step,loss,lr,tag
0,13.673522,0.00000000,train
1,18.040079,0.01000000,train
2,14.002798,0.02000000,train
3,13.945210,0.03000000,train
4,13.553097,0.04000000,train
5,14.122779,0.05000000,train
6,25.452250,0.06000000,train
7,15.175328,0.07000000,train
8,14.941005,0.08000000,train
9,14.633379,0.09000000,train
10,13.853111,0.10000000,train
11,12.286517,0.11000000,train
12,11.988119,0.12000000,train
13,11.412838,0.13000000,train
14,11.996379,0.14000000,train
15,11.724632,0.15000000,train
16,12.151745,0.16000000,train
17,15.848971,0.17000000,train
18,14.050740,0.18000000,train
19,10.632222,0.19000000,train
20,13.810433,0.20000000,train
21,11.464974,0.21000000,train
22,10.285915,0.22000000,train
23,10.057095,0.23000000,train
24,10.569880,0.24000000,train
25,10.255741,0.25000000,train
26,10.570100,0.26000000,train
27,7.239999,0.27000000,train
28,9.445436,0.28000000,train
29,10.033829,0.29000000,train
30,8.906439,0.30000000,train
31,9.467813,0.31000000,train
32,8.528715,0.32000000,train
33,6.631523,0.33000000,train
34,10.041822,0.34000000,train
35,8.445547,0.35000000,train
36,8.417933,0.36000000,train
37,6.526155,0.37000000,train
38,8.200521,0.38000000,train
39,8.093056,0.39000000,train
40,5.973879,0.40000000,train
41,7.879438,0.41000000,train
42,8.348407,0.42000000,train
43,8.013930,0.43000000,train
44,6.864943,0.44000000,train
45,6.919917,0.45000000,train
46,5.607291,0.46000000,train
47,7.909987,0.47000000,train
48,7.916319,0.48000000,train
49,7.052311,0.49000000,train
50,7.323137,0.50000000,train
51,6.836508,0.51000000,train
52,5.097344,0.52000000,train
53,6.490956,0.53000000,train
54,6.474222,0.54000000,train
55,8.463113,0.55000000,train
56,7.338633,0.56000000,train
57,6.459156,0.57000000,train
58,6.498645,0.58000000,train
59,6.302020,0.59000000,train
60,7.223159,0.60000000,train
61,4.301029,0.61000000,train
62,4.752309,0.62000000,train
63,6.401986,0.63000000,train
64,3.991873,0.64000000,train
65,5.816670,0.65000000,train
66,6.533774,0.66000000,train
67,6.108605,0.67000000,train
68,5.706074,0.68000000,train
69,4.990782,0.69000000,train
70,5.415627,0.70000000,train
71,7.389215,0.71000000,train
72,2.644404,0.72000000,train
73,5.814747,0.73000000,train
74,4.938342,0.74000000,train
